	count	mean_w	std_1
0	275	15.8327272727	0.931326838915
1	275	17.1272727273	1.04715968386
2	275	17.4836363636	1.06116008913
3	275	17.8181818182	1.06545508899
4	275	17.9745454545	1.06408349315
5	275	17.9927272727	1.06301761164
6	275	18.16	1.06329832025
7	275	18.2836363636	1.06934032815
8	275	18.5236363636	1.06982870686
9	275	18.5781818182	1.07389281321
10	275	18.6618181818	1.07325296129
11	275	18.7309090909	1.07025964312
12	275	18.8654545455	1.06683129976
13	275	18.9272727273	1.07600076381
14	275	19.0618181818	1.07447892707
15	275	19.1781818182	1.0736283148
16	275	19.3345454545	1.0770035222
17	275	19.3163636364	1.07347506917
18	275	19.4036363636	1.07028511952
19	275	19.4581818182	1.0695909524
20	275	19.5272727273	1.07197233679
21	275	19.6327272727	1.06994846637
22	275	19.7054545455	1.07182745431
23	275	19.8363636364	1.06915265994
24	275	19.9563636364	1.06771078575
25	275	20.1745454545	1.07282052838
26	275	20.2363636364	1.07247418651
27	275	20.4218181818	1.07443643715
28	275	20.4036363636	1.07329405921
29	275	20.4218181818	1.07399167439
30	275	20.4509090909	1.07594860091
31	275	20.5781818182	1.07654655093
32	275	20.8436363636	1.09809678125
33	274	21.1532846715	1.09978816006
34	274	21.2408759124	1.09796658877
35	274	21.2773722628	1.0988722018
36	274	21.3065693431	1.09774829134
37	274	21.4160583942	1.11292895426
38	274	21.4635036496	1.11250584147
39	273	21.641025641	1.1117457055
40	273	21.5824175824	1.09923233534
41	273	21.5494505495	1.09708128783
42	273	21.5457875458	1.09769546195
43	273	21.6776556777	1.1026160452
44	273	21.8461538462	1.1029085515
45	273	21.9340659341	1.10578202846
46	273	22.0549450549	1.11830001007
47	273	22.0512820513	1.11747544685
48	273	22.1135531136	1.11618641638
49	273	22.1904761905	1.11503127929
50	273	22.1758241758	1.1085112269
51	273	22.3296703297	1.10923243574
52	273	22.347985348	1.10897509293
53	273	22.4139194139	1.10789552384
54	273	22.4761904762	1.10660549778
55	273	22.4945054945	1.10800500617
56	273	22.5494505495	1.10951924081
57	273	22.5531135531	1.10690595203
58	273	22.4468864469	1.09030837524
59	273	22.4468864469	1.08990070009
60	273	22.4542124542	1.08920976135
61	273	22.4945054945	1.08929979248
62	273	22.641025641	1.09278414052
63	273	22.673992674	1.08954543818
64	273	22.6373626374	1.0885259521
65	273	22.7106227106	1.08802503192
66	273	22.7179487179	1.08652102193
67	273	22.7399267399	1.0870244504
68	273	22.7948717949	1.08583433826
69	273	22.9413919414	1.09010815425
70	273	23.0586080586	1.10136605858
71	273	23.1575091575	1.1031569353
72	272	23.1801470588	1.10336578814
73	272	23.0735294118	1.09291660262
74	272	23.1029411765	1.09243604304
75	272	23.1029411765	1.09164097586
76	272	23.1691176471	1.08969498531
77	272	23.3382352941	1.09433295096
78	271	23.7712177122	1.13332739729
79	271	23.815498155	1.13213871697
80	271	24.0	1.14079256692
81	271	24.0996309963	1.14132142521
82	271	24.442804428	1.16173833705
83	271	24.4464944649	1.16182133392
84	271	24.4391143911	1.16045464661
85	271	24.4132841328	1.15512484587
86	271	24.4243542435	1.15342274431
87	271	24.479704797	1.15168817611
88	271	24.5129151292	1.14918195763
89	271	24.5682656827	1.15207288378
90	271	24.5830258303	1.15174895332
91	271	24.6273062731	1.15660073881
92	271	24.6236162362	1.1579366977
93	271	24.7084870849	1.15876472615
94	271	24.7601476015	1.16085890919
95	271	24.7933579336	1.16060587051
96	271	24.7195571956	1.14929482243
97	270	24.8148148148	1.15261640923
98	270	24.8259259259	1.15424029848
99	270	24.8444444444	1.15472120611
100	270	24.9037037037	1.15799572546
101	270	24.8962962963	1.15156686353
102	270	24.8259259259	1.14376723016
103	270	25.1074074074	1.154544834
104	269	25.1524163569	1.15772430618
105	269	25.1895910781	1.16006179472
106	268	25.3358208955	1.1645451758
107	268	25.3694029851	1.16472908612
108	268	25.3768656716	1.16484011225
109	268	25.3955223881	1.16501488981
110	267	25.4868913858	1.16802885425
111	267	25.5093632959	1.1697996765
112	267	25.5056179775	1.16834245801
113	267	25.5243445693	1.17144668859
114	266	25.7781954887	1.17713301161
115	266	25.8496240602	1.17760336288
116	266	25.8759398496	1.17977534052
117	266	25.8984962406	1.17752068509
118	266	25.9097744361	1.17493708513
119	266	25.9398496241	1.17390551492
120	266	25.962406015	1.174199057
121	265	26.1056603774	1.18710578609
122	265	26.1660377358	1.18689898178
123	265	26.3169811321	1.18910489987
124	264	26.1742424242	1.18290664495
125	264	26.2575757576	1.18858207229
126	264	26.2121212121	1.18968204785
127	264	26.2537878788	1.19008073046
128	264	26.2234848485	1.18050457805
129	263	26.3802281369	1.20035875152
130	263	26.5323193916	1.20290404179
131	263	26.7034220532	1.20335873982
132	263	26.6958174905	1.20272420657
133	263	26.7756653992	1.20169872374
134	262	26.7557251908	1.20661294878
135	261	26.7777777778	1.21191835999
136	260	26.8576923077	1.21462559431
137	259	26.9073359073	1.21692896522
138	259	26.9845559846	1.21632723817
139	258	26.9263565891	1.21957807747
140	258	27.0620155039	1.21870846412
141	258	27.0620155039	1.21857233085
142	257	27.1556420233	1.22583508967
143	257	27.2217898833	1.22829129574
144	257	27.2412451362	1.22788710989
145	257	27.186770428	1.22627679914
146	256	27.12890625	1.2229846999
147	256	27.17578125	1.22293674937
148	255	27.1882352941	1.22779153378
149	255	27.2470588235	1.23025668078
150	254	27.3937007874	1.23744593657
151	254	27.4291338583	1.23847413707
152	254	27.4763779528	1.23870740659
153	253	27.5019762846	1.24330977697
154	253	27.6245059289	1.24493659251
155	253	27.6798418972	1.24790474496
156	253	27.7312252964	1.24661360303
157	253	27.7470355731	1.24795968925
158	252	27.7738095238	1.25321383564
159	252	27.7936507937	1.25370045979
160	251	27.8605577689	1.25797611136
161	251	27.8725099602	1.25701169901
162	251	27.9282868526	1.25710544118
163	251	27.9282868526	1.25752371074
164	251	28.0119521912	1.2654209834
165	250	28.124	1.27515118247
166	247	28.3036437247	1.28669263573
167	247	28.4372469636	1.29603777799
168	247	28.4089068826	1.29667840235
169	246	28.5203252033	1.3041611135
170	246	28.4796747967	1.30597914329
171	246	28.487804878	1.30058163282
172	246	28.5609756098	1.29840545829
173	245	28.4326530612	1.29612064185
174	245	28.4734693878	1.2973393105
175	245	28.493877551	1.29727589111
176	245	28.5224489796	1.29633349779
177	245	28.5346938776	1.28785247071
178	245	28.4979591837	1.28917858144
179	244	28.5860655738	1.29702377425
180	244	28.5409836066	1.29339985737
181	244	28.5532786885	1.29373700461
182	244	28.5491803279	1.29360730189
183	243	28.5349794239	1.29947870766
184	241	28.4315352697	1.30607369552
185	238	28.8235294118	1.32606198304
186	237	28.7594936709	1.32120068488
187	237	28.7679324895	1.32174825746
188	237	28.7679324895	1.32161298384
189	237	28.8016877637	1.3227045382
190	235	28.8212765957	1.33093410446
191	235	28.8170212766	1.32937992671
192	235	28.8425531915	1.33148517894
193	235	28.8510638298	1.3310932303
194	235	28.885106383	1.33218648081
195	235	28.8680851064	1.33131947367
196	235	28.8978723404	1.33211584442
197	235	28.9404255319	1.33279562233
198	235	28.9659574468	1.33390418535
199	235	28.9489361702	1.33492395053
200	235	28.9319148936	1.33228894338
201	235	28.9872340426	1.3358470692
202	234	28.9871794872	1.34185513707
203	234	29.0128205128	1.34270232001
204	234	29.0170940171	1.34217610527
205	234	29.0299145299	1.3421273123
206	233	29.1330472103	1.34421729951
207	232	29.2025862069	1.34832692299
208	230	29.1043478261	1.35234956922
209	230	29.1086956522	1.35267795911
210	229	29.2139737991	1.36040271067
211	229	29.3144104803	1.35847853309
212	228	29.3771929825	1.36072197388
213	228	29.3771929825	1.36188582669
214	228	29.3771929825	1.36192838781
215	228	29.4605263158	1.36264522463
216	228	29.5833333333	1.36084873496
217	227	29.7268722467	1.36662623492
218	226	29.7256637168	1.37056420389
219	225	29.8844444444	1.38115861441
220	225	30.0266666667	1.37436738694
221	225	30.0133333333	1.36604922173
222	225	30.1288888889	1.36622569993
223	225	30.1333333333	1.3662020116
224	225	30.1555555556	1.36621330718
225	223	30.2286995516	1.38038132345
226	223	30.0582959641	1.36032630686
227	222	29.9504504505	1.35977052723
228	222	29.9009009009	1.35324463462
229	222	29.9684684685	1.35888828723
230	222	29.972972973	1.35918118119
231	222	30.018018018	1.36325468297
232	222	30.027027027	1.36338856424
233	222	30.009009009	1.36334479163
234	222	30.036036036	1.36307363949
235	220	29.9454545455	1.37091099579
236	220	29.95	1.37072252508
237	220	30.0727272727	1.36723835882
238	220	30.0909090909	1.36829562392
239	220	30.1	1.36534678948
240	219	30.2739726027	1.36907165781
241	219	30.3515981735	1.36945688197
242	219	30.3698630137	1.37184934118
243	218	30.3256880734	1.3787152077
244	217	30.2949308756	1.38455384211
245	217	30.2857142857	1.38408502851
246	217	30.33640553	1.38561140991
247	217	30.3732718894	1.38813675213
248	217	30.3963133641	1.38912888646
249	217	30.3686635945	1.38807329032
250	217	30.3778801843	1.38883011006
251	217	30.3594470046	1.38449866657
252	216	30.4212962963	1.40756432865
253	216	30.375	1.38487760539
254	216	30.4537037037	1.38472920014
255	216	30.5462962963	1.40265173561
256	215	30.4604651163	1.37946417401
257	215	30.4976744186	1.38006539725
258	214	30.5	1.3875871805
259	213	30.5821596244	1.39354754449
260	213	30.6478873239	1.39049925004
261	213	30.6713615023	1.39110752999
262	213	30.6478873239	1.39148632775
263	212	30.7358490566	1.39739867313
264	211	30.672985782	1.40300187583
265	211	30.6682464455	1.40150785462
266	211	30.6255924171	1.4004176264
267	211	30.7393364929	1.40232794417
268	209	30.9425837321	1.41054339182
269	208	30.7307692308	1.39957825206
270	208	30.7211538462	1.40061423892
271	207	30.9565217391	1.40773664071
272	207	31.0048309179	1.40652325199
273	207	31.0579710145	1.4118178996
274	206	30.567961165	1.33071110931
275	206	30.7475728155	1.34191321872
276	206	30.8446601942	1.34898975651
277	206	31.0242718447	1.35077773478
278	205	31.0146341463	1.35870430248
279	205	30.9951219512	1.35822938656
280	204	30.9362745098	1.36181462042
281	204	30.9558823529	1.36405083105
282	203	30.9458128079	1.36777529075
283	203	30.9802955665	1.36821665202
284	203	31.0344827586	1.36804586754
285	202	31.0247524752	1.37501540433
286	202	31.0940594059	1.37541242675
287	202	31.0891089109	1.37551255087
288	202	31.1485148515	1.37657884827
289	201	31.4228855721	1.40902435041
290	201	31.5024875622	1.41375834414
291	201	31.671641791	1.42233715904
292	201	31.6666666667	1.42260243156
293	200	31.72	1.42990599543
294	200	31.825	1.44708053868
295	200	31.905	1.45011864876
296	200	31.915	1.45088393608
297	199	31.9045226131	1.45919913545
298	199	31.9195979899	1.45966455647
299	199	31.9195979899	1.46107223772
300	199	31.9648241206	1.46183668489
301	199	31.9849246231	1.46114381253
302	199	32.0904522613	1.46760331696
303	199	32.1206030151	1.4667274508
304	199	32.1658291457	1.46297144831
305	199	32.1809045226	1.46378622209
306	199	32.1859296482	1.46276840324
307	198	32.398989899	1.47540884217
308	198	32.4696969697	1.47405146568
309	198	32.5101010101	1.47553047095
310	197	32.6497461929	1.48282435373
311	197	32.6802030457	1.48259745854
312	196	32.8112244898	1.48346913435
313	195	32.7692307692	1.49142066178
314	195	32.8205128205	1.49313981486
315	195	32.8615384615	1.49286134201
316	195	32.8871794872	1.49420873361
317	193	32.9222797927	1.51041499938
318	193	32.8704663212	1.48085947241
319	193	32.8860103627	1.48171326759
320	193	32.8652849741	1.48135812215
321	193	32.8549222798	1.48005903496
322	193	32.8652849741	1.47997296807
323	193	32.9378238342	1.48451322655
324	193	33.0777202073	1.48253573052
325	193	33.0880829016	1.4821139899
326	193	33.1139896373	1.48253261814
327	193	33.170984456	1.48313196192
328	193	33.1658031088	1.4823615212
329	192	33.2083333333	1.49082478412
330	192	33.3125	1.50081102638
331	192	33.265625	1.50072202232
332	191	33.2617801047	1.51093115365
333	191	33.3036649215	1.51265796731
334	191	33.3507853403	1.51244946109
335	190	33.5157894737	1.51536686921
336	190	33.5263157895	1.51584381381
337	190	33.5842105263	1.51697122202
338	190	33.6210526316	1.51793066381
339	189	33.6031746032	1.52266487882
340	188	33.664893617	1.52880232671
341	188	33.6755319149	1.52894483286
342	187	33.6951871658	1.53796964587
343	186	33.5376344086	1.53829576703
344	185	33.4972972973	1.54608265689
345	185	33.5297297297	1.54765740195
346	185	33.5837837838	1.54969531283
347	185	33.6378378378	1.54927615803
348	185	33.6324324324	1.55039706644
349	184	33.597826087	1.54678982953
350	184	33.5760869565	1.54741078108
351	183	33.7103825137	1.55500878168
352	183	33.7595628415	1.5586515732
353	183	33.7759562842	1.55950271118
354	180	34.0111111111	1.57862406378
355	180	34.0111111111	1.5781128066
356	180	34.0111111111	1.57880099885
357	180	34.0111111111	1.57880099885
358	180	34.0388888889	1.57902459675
359	180	34.1555555556	1.59054902354
360	179	34.1340782123	1.60135352997
361	179	34.1117318436	1.59787070908
362	178	34.2134831461	1.6199171334
363	178	34.2191011236	1.62058873497
364	178	34.3370786517	1.63277716005
365	178	34.3202247191	1.63490410109
366	177	34.4124293785	1.6444613412
367	177	34.4576271186	1.64815670532
368	177	34.2316384181	1.65973941905
369	177	34.2542372881	1.6617308718
370	177	34.2881355932	1.66117777226
371	176	34.3409090909	1.67546800454
372	176	34.3522727273	1.67493127491
373	176	34.4034090909	1.68023612629
374	176	34.4318181818	1.68149961883
375	176	34.4431818182	1.6843765641
376	173	34.6936416185	1.70073052124
377	173	34.710982659	1.70117295369
