	count	mean_w	std_1
331	192	821.052083333	48.3750914536
332	191	816.680628272	49.6578903756
333	191	818.303664921	49.7531288731
334	191	818.722513089	49.8315521013
335	190	822.705263158	50.1898616072
336	190	823.552631579	50.3767429902
337	190	829.663157895	50.5914956047
338	190	830.484210526	50.5968034617
339	189	832.243386243	50.804973183
340	188	835.457446809	51.4222918122
341	188	836.994680851	51.9349093617
342	187	829.245989305	51.4117019027
343	186	829.930107527	51.7365310539
344	185	832.605405405	52.0110345436
345	185	832.794594595	52.0234575454
346	185	833.843243243	52.0258625841
347	185	834.497297297	52.0283853898
348	185	834.52972973	51.9656625552
349	184	832.293478261	52.3916570228
350	184	832.548913043	52.4180909534
351	183	838.18579235	53.5832530348
352	183	837.355191257	53.0192836034
353	183	837.535519126	53.0841843555
354	180	844.327777778	54.0943372298
355	180	844.572222222	54.1044946338
356	180	844.633333333	54.1059946125
357	180	844.761111111	54.1154319296
358	180	844.855555556	54.1201253267
359	180	854.461111111	55.6827379893
360	179	854.530726257	56.0203397799
361	179	855.005586592	56.0339254114
362	178	863.808988764	57.0085617766
363	178	865.747191011	57.0961194085
364	178	868.039325843	57.1619941901
365	178	868.764044944	57.1878024017
366	177	872.141242938	57.5524356916
367	177	872.621468927	57.6527981521
368	177	876.0	57.6956837508
369	177	875.661016949	57.7078181195
370	177	875.372881356	57.6999007799
371	176	877.982954545	59.6567707016
372	176	877.619318182	59.6276371614
373	176	881.278409091	59.6830354407
374	176	886.704545455	60.2111125342
375	176	888.897727273	60.3479403233
376	173	896.531791908	61.0599218541
377	173	896.028901734	61.4484535995
378	173	896.520231214	61.4519395825
379	173	897.057803468	61.4765053866
380	173	898.543352601	61.5328099144
381	173	902.647398844	62.1616545489
382	173	921.537572254	64.4315983915
383	171	929.444444444	66.8000492879
384	171	928.532163743	66.5982137143
385	171	930.543859649	67.0580847936
386	171	934.046783626	67.2650972911
387	171	931.807017544	66.7546820008
388	171	934.274853801	66.8327626683
389	169	939.621301775	67.5023109305
390	169	940.431952663	67.6247366784
391	169	940.74556213	67.6269612733
392	168	940.666666667	68.0339397401
393	168	941.422619048	68.1090987815
394	168	943.988095238	68.7920361615
395	168	945.392857143	68.9866682486
396	168	948.023809524	69.0023234466
397	168	948.458333333	69.0126391178
398	168	958.035714286	69.4476265426
399	167	966.628742515	69.8488233721
400	167	966.323353293	69.7340652611
401	166	966.759036145	70.1641923411
402	166	966.969879518	70.1701387331
403	166	971.415662651	71.2579526302
404	166	972.680722892	71.3102524338
405	166	973.524096386	71.5134878792
406	165	974.733333333	71.8902182749
407	165	975.157575758	71.9527961546
408	165	974.8	71.8954680744
409	165	979.606060606	72.2323766587
410	165	981.109090909	72.4706934259
411	164	986.317073171	72.8564946529
412	164	987.731707317	72.872912676
413	164	991.817073171	72.9041513342
414	163	992.766871166	73.4204026346
415	163	993.877300613	73.36688403
416	163	991.920245399	73.3302884981
417	162	973.944444444	71.6215822421
418	162	974.358024691	71.6346960951
419	161	975.50931677	72.0879553122
420	161	975.086956522	72.0730507345
421	161	976.074534161	72.0796776784
422	160	976.58125	72.6161764208
423	160	975.3875	72.425226561
424	160	975.40625	72.4175997238
425	160	975.41875	72.4335373477
426	160	972.30625	72.6480991134
427	160	972.575	72.668107829
428	159	968.886792453	72.9226600753
429	159	970.194968553	72.9780590887
430	158	971.253164557	73.403462349
431	157	970.038216561	74.013965121
